#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X
LEAVECURRENT;(Please note that you will leave your current alliance.);(Remarquez que vous allez quitter votre alliance actuelle.);(Attenzione: così facendo uscirai dall'alleanza attuale.);(Ten en cuenta que dejarás tu alianza actual).;(Bitte nehmen sie zur Kenntnis, dass sie Ihr momentanes Bündnis verlassen werden.);(Pamiêtaj, ¿e tym samym opuœcisz aktualny sojusz);;;;;x
TRADE_SLIDE_LIMIT;They have max %.1f to offer. We have max %.1f to trade.;Ils ont max %.1f à offrir. Nous avons max %.1f à échanger. ;Hanno al massimo %.1f da offrire. Noi abbiamo al massimo %.1f da scambiare.;Tienen un máx. de %.1f que ofrecer.  Tenemos un máx. de %.1f que dar. ;Der Handelspartner hat maximal %.1f anzubieten. Wir haben maximal %.1f zum handeln.;Maj¹ maks %.1f do zaoferowania. My mamy maks. %.1f do przekazania.;;;;;x
SNAME_LIGHT_ARMOR_BRI;L-A;B-L;B-L;Bli Lig;L. Pz;L. Cz.;;;;;x
DEL_SLIDER_SUPPLIES2;We will produce %.2f supplies daily.\nOur troops need at least %.2f each day.\nWe are getting %.2f from trade each day.\nWe are trading away %.2f each day.;Nous produirons %.2f ravitaillement chaque jour.\nNos troupes nécéssitent au moins %.2f chaque jour.\nNous reçevons %.2f du commerce chaque jour.\nNous en échangeons %.2f chaque jour.;Produrremo %.2f rifornimenti al giorno.\nLe nostre truppe necessitano di almeno %.2f rifornimenti al giorno.\nCon il commercio riceviamo %.2f rifornimenti ogni giorno.\nScambiamo %.2f rifornimenti al giorno.;Produciremos %.2f de suministros al día.\nNuestras tropas necesitan al menos %.2f cada día.\nObtenemos %.2f del comercio cada día.\nEnviamos %.2f cada día.;Wir produzieren %.2f pro Tag.\nUnsere Truppen verbrauchen mindestens %.2f pro Tag.\nWir importieren %.2f pro Tag.\nWir exportieren %.2f pro Tag.;Bêdziemy produkowaæ %.2f zaopatrzenia dziennie.\n Nasze jednostki potrzebuj¹ przynajmniej %.2f dziennie.\n Otrzymujemy %.2f dziennie dziêki umowom handlowym.\nCodziennie przekazujemy %.2f w ramach umów.;;;;;x
EYRARMIES_ST;DIVISION STATISTICS;STATISTIQUES DE DIVISION;STATISTICHE DIVISIONE;ESTADÍSTICAS DIVISIONES;DIVISIONSSTATISTIK;Statystyki dywizji;;;;;x
EYRFLEETS_ST;SHIP STATISTICS;STATISTIQUES NAVALES;STATISTICHE MEZZI NAVALI;ESTADÍSTICAS NAVALES;SCHIFFSSTATISTIK;Statystyki statków;;;;;x
EYRAIR_ST;AIRCRAFT STATISTICS;STATISTIQUES DES AVIONS;STATISTICHE MEZZI AEREI;ESTADÍSTICAS AÉREAS;FLUGZEUGSSTATISTIK;Statystyki samolotów;;;;;x
BM_MINISTER_MODS;Minister Modifiers;Modificateurs de ministre;Modificatori ministro;Modificadores del Ministro;Minister Modifikationen;Modyfikatory ministrów;;;;;x
CRB_MINMOD;Different ministers can give different modifiers to a unit in combat.;Les ministres différents peuvent donner des modificateurs différents à une unité pendant le combat.;I ministri possono applicare diversi modificatori alle unità coinvolte nei combattimenti.;Cada ministro puede dar un modificador diferente a una unidad en combate.;Verschiedene Minister können Einheiten im Kampf unterschiedliche Boni geben.;Ministrowie mog¹ spowodowaæ przydzielenie premii jednostkom.;;;;;x
EYRBRIGADESHORT;Brigade;Brigade;Brigata;Brigada;Brigade;Brygada;;;;;x
sc_event28_name;Objective: Mandalay;Objectif: Mandalay;Obiettivo: Mandalay;Objetivo: Mandalay;Ziel: Mandalay;Cel: Mandalay;;;;;x
sc_event27_name;Objective: Rangoon;Objectif: Rangoon;Obiettivo: Rangoon;Objetivo: Rangún;Ziel: Rangoon;Cel: Rangoon;;;;;x
MANPOWER_IC_USE;You have %.1f IC committed to reinforcement in this scenario.;Vous avez %.1f IC  attibués aux renforts dans ce scénario. ;In questo scenario %.1f di PI è assegnata ai rinforzi.;Tienes %.1f de CI comprometida en refuerzos para este escenario.;In diesem Szenario werden laufend %.1f IK in Verstärkung investiert.;Poœwiêci³eœ w tym scenariuszu %.1f j. PP na uzupe³nienia.;;;;;x
